month,ema_period,bb_window,bb_dev,is_sharpe,oos_return_%,oos_trades,oos_win_rate_%,cumulative_nav
2024-01,1300,80,3.75,2.82,-4.14,2,0.0,95.86
2024-02,1300,85,3.5,2.574,71.78,1,100.0,164.66
2024-03,1300,80,3.75,3.104,-4.49,1,0.0,157.27
2024-04,900,85,3.0,2.863,-8.03,1,0.0,144.64
2024-05,1000,85,3.5,2.522,2.12,2,100.0,147.71
2024-06,1100,90,3.0,2.509,-0.76,1,0.0,146.58
2024-07,900,80,3.0,2.445,-0.95,1,0.0,145.19
2024-08,1000,85,3.75,2.357,0.0,0,0.0,145.19
2024-09,900,80,3.0,2.298,-10.32,4,25.0,130.21
2024-10,950,85,3.0,2.187,2.39,1,100.0,133.32
2024-11,1450,80,3.75,2.239,39.55,1,100.0,186.04
2024-12,1250,85,3.5,2.5,-12.83,2,0.0,162.17
2025-01,1300,80,3.75,2.441,-8.93,1,0.0,147.7
2025-02,1450,30,4.0,1.903,0.0,0,0.0,147.7
2025-03,1450,30,4.0,1.869,0.0,0,0.0,147.7
2025-04,1450,30,4.0,1.833,0.0,0,0.0,147.7
2025-05,1300,80,3.75,2.289,-5.97,1,0.0,138.88
2025-06,950,75,3.0,2.06,-4.38,3,33.3,132.79
2025-07,1250,80,3.75,2.135,11.13,1,100.0,147.57
2025-08,1250,80,3.75,2.191,-6.32,1,0.0,138.24
2025-09,1000,105,4.0,1.912,0.0,0,0.0,138.24
2025-10,1000,105,4.0,1.883,0.0,0,0.0,138.24
2025-11,1300,80,3.75,2.03,0.0,0,0.0,138.24
